"Contig_Name","SNP_Position","goTerm","CC","BP","MF","keywords","ID"
"4720780",218,"GO:0009986 // GO:0005911 // GO:0070062 // GO:0001772 // GO:0005887 // GO:0005886 // GO:0032587 // GO:0008013 // GO:0070097 // GO:0045295 // GO:0051019 // GO:0016791 // GO:0005161 // GO:0019901 // GO:0004725 // GO:0060242 // GO:0007507 // GO:0030308 // GO:0030336 // GO:0008285 // GO:0042059 // GO:0043407 // GO:0010642 // GO:0051898 // GO:0050860 // GO:0043116 // GO:0048709 // GO:0035335 // GO:0048008 // GO:0050918 // GO:0045785 // GO:0051894 // GO:0051897 // GO:0030155 // GO:0050852 // GO:0001570","contact inhibition (GO:0060242);heart development (GO:0007507);negative regulation of cell growth (GO:0030308);negative regulation of cell migration (GO:0030336);negative regulation of cell proliferation (GO:0008285);negative regulation of epidermal growth factor receptor signaling pathway (GO:0042059);negative regulation of MAP kinase activity (GO:0043407);negative regulation of platelet-derived growth factor receptor signaling pathway (GO:0010642);negative regulation of protein kinase B signaling (GO:0051898);negative regulation of T cell receptor signaling pathway (GO:0050860);negative regulation of vascular permeability (GO:0043116);oligodendrocyte differentiation (GO:0048709);peptidyl-tyrosine dephosphorylation (GO:0035335);platelet-derived growth factor receptor signaling pathway (GO:0048008);positive chemotaxis (GO:0050918);positive regulation of cell adhesion (GO:0045785);positive regulation of focal adhesion assembly (GO:0051894);positive regulation of protein kinase B signaling (GO:0051897);regulation of cell adhesion (GO:0030155);T cell receptor signaling pathway (GO:0050852);vasculogenesis (GO:0001570);","beta-catenin binding (GO:0008013);delta-catenin binding (GO:0070097);gamma-catenin binding (GO:0045295);mitogen-activated protein kinase binding (GO:0051019);phosphatase activity (GO:0016791);platelet-derived growth factor receptor binding (GO:0005161);protein kinase binding (GO:0019901);protein tyrosine phosphatase activity (GO:0004725);","cell surface (GO:0009986);cell-cell junction (GO:0005911);extracellular exosome (GO:0070062);immunological synapse (GO:0001772);integral component of plasma membrane (GO:0005887);plasma membrane (GO:0005886);ruffle membrane (GO:0032587);","3D-structure;Alternative splicing;Cell junction;Cell membrane;Cell projection;Complete proteome;Direct protein sequencing;Glycoprotein;Hydrolase;Membrane;Polymorphism;Protein phosphatase;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix.;","4720780_218"
"4722851",556,"GO:0005737 // GO:0000790 // GO:0005634 // GO:0090575 // GO:0043425 // GO:0035326 // GO:0046982 // GO:0042803 // GO:0000978 // GO:0046332 // GO:0003700 // GO:0008134 // GO:0001077 // GO:0006955 // GO:0007517 // GO:0045666 // GO:0045944 // GO:0006357 // GO:0006366","immune response (GO:0006955);muscle organ development (GO:0007517);positive regulation of neuron differentiation (GO:0045666);positive regulation of transcription from RNA polymerase II promoter (GO:0045944);regulation of transcription from RNA polymerase II promoter (GO:0006357);transcription from RNA polymerase II promoter (GO:0006366);","bHLH transcription factor binding (GO:0043425);enhancer binding (GO:0035326);protein heterodimerization activity (GO:0046982);protein homodimerization activity (GO:0042803);RNA polymerase II core promoter proximal region sequence-specific DNA binding (GO:0000978);SMAD binding (GO:0046332);transcription factor activity, sequence-specific DNA binding (GO:0003700);transcription factor binding (GO:0008134);transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding (GO:0001077);","cytoplasm (GO:0005737);nuclear chromatin (GO:0000790);nucleus (GO:0005634);RNA polymerase II transcription factor complex (GO:0090575);","3D-structure;Alternative splicing;Complete proteome;Craniosynostosis;Developmental protein;Differentiation;Disease mutation;DNA-binding;Isopeptide bond;Neurogenesis;Nucleus;Phosphoprotein;Polymorphism;Reference proteome;Transcription;Transcription regulation;Ubl conjugation.;","4722851_556"
"4723391",63,"GO:0005737 // GO:0005829 // GO:0005730 // GO:0005654 // GO:0005634 // GO:0003682 // GO:0000978 // GO:0001077 // GO:0001974 // GO:0033173 // GO:0014898 // GO:0045333 // GO:0071277 // GO:0071285 // GO:0038095 // GO:0007507 // GO:0006954 // GO:0045087 // GO:0001569 // GO:0045944 // GO:2001256 // GO:0006357 // GO:0001666 // GO:0048741 // GO:0051145 // GO:0002223 // GO:0030217 // GO:0048538 // GO:0006366","blood vessel remodeling (GO:0001974);calcineurin-NFAT signaling cascade (GO:0033173);cardiac muscle hypertrophy in response to stress (GO:0014898);cellular respiration (GO:0045333);cellular response to calcium ion (GO:0071277);cellular response to lithium ion (GO:0071285);Fc-epsilon receptor signaling pathway (GO:0038095);heart development (GO:0007507);inflammatory response (GO:0006954);innate immune response (GO:0045087);patterning of blood vessels (GO:0001569);positive regulation of transcription from RNA polymerase II promoter (GO:0045944);regulation of store-operated calcium entry (GO:2001256);regulation of transcription from RNA polymerase II promoter (GO:0006357);response to hypoxia (GO:0001666);skeletal muscle fiber development (GO:0048741);smooth muscle cell differentiation (GO:0051145);stimulatory C-type lectin receptor signaling pathway (GO:0002223);T cell differentiation (GO:0030217);thymus development (GO:0048538);transcription from RNA polymerase II promoter (GO:0006366);","chromatin binding (GO:0003682);RNA polymerase II core promoter proximal region sequence-specific DNA binding (GO:0000978);transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding (GO:0001077);","cytoplasm (GO:0005737);cytosol (GO:0005829);nucleolus (GO:0005730);nucleoplasm (GO:0005654);nucleus (GO:0005634);","3D-structure;Acetylation;Activator;Alternative splicing;Complete proteome;Cytoplasm;Direct protein sequencing;DNA-binding;Nucleus;Phosphoprotein;Polymorphism;Reference proteome;Repeat;Transcription;Transcription regulation.;","4723391_63"
"4724219",279,"GO:0016021 // GO:0004872 // GO:0007155","cell adhesion (GO:0007155);","receptor activity (GO:0004872);","integral component of membrane (GO:0016021);","Alternative splicing;Cell adhesion;Complete proteome;Disulfide bond;Glycoprotein;Immunoglobulin domain;Membrane;Polymorphism;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix.;","4724219_279"
"4724219",365,"GO:0016021 // GO:0004872 // GO:0007155","cell adhesion (GO:0007155);","receptor activity (GO:0004872);","integral component of membrane (GO:0016021);","Alternative splicing;Cell adhesion;Complete proteome;Disulfide bond;Glycoprotein;Immunoglobulin domain;Membrane;Polymorphism;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix.;","4724219_365"
"4728569",331,"GO:0005829 // GO:0012505 // GO:0019898 // GO:0015630 // GO:0005543 // GO:0007596 // GO:0042742 // GO:0042832 // GO:0051607 // GO:0032510 // GO:0030595 // GO:0007040 // GO:0033364 // GO:0032438 // GO:0007017 // GO:0042267 // GO:0002446 // GO:0055091 // GO:0006644 // GO:0043473 // GO:0032816 // GO:0042493 // GO:0033299 // GO:0002456","blood coagulation (GO:0007596);defense response to bacterium (GO:0042742);defense response to protozoan (GO:0042832);defense response to virus (GO:0051607);endosome to lysosome transport via multivesicular body sorting pathway (GO:0032510);leukocyte chemotaxis (GO:0030595);lysosome organization (GO:0007040);mast cell secretory granule organization (GO:0033364);melanosome organization (GO:0032438);microtubule-based process (GO:0007017);natural killer cell mediated cytotoxicity (GO:0042267);neutrophil mediated immunity (GO:0002446);phospholipid homeostasis (GO:0055091);phospholipid metabolic process (GO:0006644);pigmentation (GO:0043473);positive regulation of natural killer cell activation (GO:0032816);response to drug (GO:0042493);secretion of lysosomal enzymes (GO:0033299);T cell mediated immunity (GO:0002456);","phospholipid binding (GO:0005543);","cytosol (GO:0005829);endomembrane system (GO:0012505);extrinsic component of membrane (GO:0019898);microtubule cytoskeleton (GO:0015630);","Alternative splicing;Complete proteome;Cytoplasm;Disease mutation;Phosphoprotein;Polymorphism;Protein transport;Reference proteome;Repeat;Transport;WD repeat.;","4728569_331"
"4728569",352,"GO:0005829 // GO:0012505 // GO:0019898 // GO:0015630 // GO:0005543 // GO:0007596 // GO:0042742 // GO:0042832 // GO:0051607 // GO:0032510 // GO:0030595 // GO:0007040 // GO:0033364 // GO:0032438 // GO:0007017 // GO:0042267 // GO:0002446 // GO:0055091 // GO:0006644 // GO:0043473 // GO:0032816 // GO:0042493 // GO:0033299 // GO:0002456","blood coagulation (GO:0007596);defense response to bacterium (GO:0042742);defense response to protozoan (GO:0042832);defense response to virus (GO:0051607);endosome to lysosome transport via multivesicular body sorting pathway (GO:0032510);leukocyte chemotaxis (GO:0030595);lysosome organization (GO:0007040);mast cell secretory granule organization (GO:0033364);melanosome organization (GO:0032438);microtubule-based process (GO:0007017);natural killer cell mediated cytotoxicity (GO:0042267);neutrophil mediated immunity (GO:0002446);phospholipid homeostasis (GO:0055091);phospholipid metabolic process (GO:0006644);pigmentation (GO:0043473);positive regulation of natural killer cell activation (GO:0032816);response to drug (GO:0042493);secretion of lysosomal enzymes (GO:0033299);T cell mediated immunity (GO:0002456);","phospholipid binding (GO:0005543);","cytosol (GO:0005829);endomembrane system (GO:0012505);extrinsic component of membrane (GO:0019898);microtubule cytoskeleton (GO:0015630);","Alternative splicing;Complete proteome;Cytoplasm;Disease mutation;Phosphoprotein;Polymorphism;Protein transport;Reference proteome;Repeat;Transport;WD repeat.;","4728569_352"
"4730987",218,"GO:0005737 // GO:0005829 // GO:0005634 // GO:0001726 // GO:0001784 // GO:0044822 // GO:0002820 // GO:0050869 // GO:0050732","negative regulation of adaptive immune response (GO:0002820);negative regulation of B cell activation (GO:0050869);negative regulation of peptidyl-tyrosine phosphorylation (GO:0050732);","phosphotyrosine binding (GO:0001784);poly(A) RNA binding (GO:0044822);","cytoplasm (GO:0005737);cytosol (GO:0005829);nucleus (GO:0005634);ruffle (GO:0001726);","3D-structure;Cell projection;Complete proteome;Cytoplasm;Nucleus;Phosphoprotein;Reference proteome;SH3 domain.;","4730987_218"
"4731523",235,"GO:0016021 // GO:0005886 // GO:0003823 // GO:0004888 // GO:0002250 // GO:0007166 // GO:0006952 // GO:0050776","adaptive immune response (GO:0002250);cell surface receptor signaling pathway (GO:0007166);defense response (GO:0006952);regulation of immune response (GO:0050776);","antigen binding (GO:0003823);transmembrane signaling receptor activity (GO:0004888);","integral component of membrane (GO:0016021);plasma membrane (GO:0005886);","Adaptive immunity;Alternative splicing;Complete proteome;Disulfide bond;Glycoprotein;Immunity;Immunoglobulin domain;Membrane;Polymorphism;Receptor;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix.;","4731523_235"
"4731523",313,"GO:0016021 // GO:0005886 // GO:0003823 // GO:0004888 // GO:0002250 // GO:0007166 // GO:0006952 // GO:0050776","adaptive immune response (GO:0002250);cell surface receptor signaling pathway (GO:0007166);defense response (GO:0006952);regulation of immune response (GO:0050776);","antigen binding (GO:0003823);transmembrane signaling receptor activity (GO:0004888);","integral component of membrane (GO:0016021);plasma membrane (GO:0005886);","Adaptive immunity;Alternative splicing;Complete proteome;Disulfide bond;Glycoprotein;Immunity;Immunoglobulin domain;Membrane;Polymorphism;Receptor;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix.;","4731523_313"
"4731523",359,"GO:0016021 // GO:0005886 // GO:0003823 // GO:0004888 // GO:0002250 // GO:0007166 // GO:0006952 // GO:0050776","adaptive immune response (GO:0002250);cell surface receptor signaling pathway (GO:0007166);defense response (GO:0006952);regulation of immune response (GO:0050776);","antigen binding (GO:0003823);transmembrane signaling receptor activity (GO:0004888);","integral component of membrane (GO:0016021);plasma membrane (GO:0005886);","Adaptive immunity;Alternative splicing;Complete proteome;Disulfide bond;Glycoprotein;Immunity;Immunoglobulin domain;Membrane;Polymorphism;Receptor;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix.;","4731523_359"
"4731523",469,"GO:0016021 // GO:0005886 // GO:0003823 // GO:0004888 // GO:0002250 // GO:0007166 // GO:0006952 // GO:0050776","adaptive immune response (GO:0002250);cell surface receptor signaling pathway (GO:0007166);defense response (GO:0006952);regulation of immune response (GO:0050776);","antigen binding (GO:0003823);transmembrane signaling receptor activity (GO:0004888);","integral component of membrane (GO:0016021);plasma membrane (GO:0005886);","Adaptive immunity;Alternative splicing;Complete proteome;Disulfide bond;Glycoprotein;Immunity;Immunoglobulin domain;Membrane;Polymorphism;Receptor;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix.;","4731523_469"
"4731523",510,"GO:0016021 // GO:0005886 // GO:0003823 // GO:0004888 // GO:0002250 // GO:0007166 // GO:0006952 // GO:0050776","adaptive immune response (GO:0002250);cell surface receptor signaling pathway (GO:0007166);defense response (GO:0006952);regulation of immune response (GO:0050776);","antigen binding (GO:0003823);transmembrane signaling receptor activity (GO:0004888);","integral component of membrane (GO:0016021);plasma membrane (GO:0005886);","Adaptive immunity;Alternative splicing;Complete proteome;Disulfide bond;Glycoprotein;Immunity;Immunoglobulin domain;Membrane;Polymorphism;Receptor;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix.;","4731523_510"
"4731523",556,"GO:0016021 // GO:0005886 // GO:0003823 // GO:0004888 // GO:0002250 // GO:0007166 // GO:0006952 // GO:0050776","adaptive immune response (GO:0002250);cell surface receptor signaling pathway (GO:0007166);defense response (GO:0006952);regulation of immune response (GO:0050776);","antigen binding (GO:0003823);transmembrane signaling receptor activity (GO:0004888);","integral component of membrane (GO:0016021);plasma membrane (GO:0005886);","Adaptive immunity;Alternative splicing;Complete proteome;Disulfide bond;Glycoprotein;Immunity;Immunoglobulin domain;Membrane;Polymorphism;Receptor;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix.;","4731523_556"
"4731523",580,"GO:0016021 // GO:0005886 // GO:0003823 // GO:0004888 // GO:0002250 // GO:0007166 // GO:0006952 // GO:0050776","adaptive immune response (GO:0002250);cell surface receptor signaling pathway (GO:0007166);defense response (GO:0006952);regulation of immune response (GO:0050776);","antigen binding (GO:0003823);transmembrane signaling receptor activity (GO:0004888);","integral component of membrane (GO:0016021);plasma membrane (GO:0005886);","Adaptive immunity;Alternative splicing;Complete proteome;Disulfide bond;Glycoprotein;Immunity;Immunoglobulin domain;Membrane;Polymorphism;Receptor;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix.;","4731523_580"
"4731523",609,"GO:0016021 // GO:0005886 // GO:0003823 // GO:0004888 // GO:0002250 // GO:0007166 // GO:0006952 // GO:0050776","adaptive immune response (GO:0002250);cell surface receptor signaling pathway (GO:0007166);defense response (GO:0006952);regulation of immune response (GO:0050776);","antigen binding (GO:0003823);transmembrane signaling receptor activity (GO:0004888);","integral component of membrane (GO:0016021);plasma membrane (GO:0005886);","Adaptive immunity;Alternative splicing;Complete proteome;Disulfide bond;Glycoprotein;Immunity;Immunoglobulin domain;Membrane;Polymorphism;Receptor;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix.;","4731523_609"
"4733013",492,"GO:0016021 // GO:0005886 // GO:0002376 // GO:0050776","immune system process (GO:0002376);regulation of immune response (GO:0050776);","No_GOMF","integral component of membrane (GO:0016021);plasma membrane (GO:0005886);","3D-structure;Alternative splicing;Cell membrane;Complete proteome;Direct protein sequencing;Disulfide bond;Glycoprotein;Immunity;Immunoglobulin domain;Membrane;Phosphoprotein;Polymorphism;Receptor;Reference proteome;Signal;Transmembrane;Transmembrane helix.;","4733013_492"
"4733425",515,"GO:0005737 // GO:0050811 // GO:0004435 // GO:0004871 // GO:0002322 // GO:0002337 // GO:0007214 // GO:0035556 // GO:0006629 // GO:0050859 // GO:1900122 // GO:0033135 // GO:0032228","B cell proliferation involved in immune response (GO:0002322);B-1a B cell differentiation (GO:0002337);gamma-aminobutyric acid signaling pathway (GO:0007214);intracellular signal transduction (GO:0035556);lipid metabolic process (GO:0006629);negative regulation of B cell receptor signaling pathway (GO:0050859);positive regulation of receptor binding (GO:1900122);regulation of peptidyl-serine phosphorylation (GO:0033135);regulation of synaptic transmission, GABAergic (GO:0032228);","GABA receptor binding (GO:0050811);phosphatidylinositol phospholipase C activity (GO:0004435);signal transducer activity (GO:0004871);","cytoplasm (GO:0005737);","Acetylation;Alternative splicing;Complete proteome;Cytoplasm;Phosphoprotein;Polymorphism;Reference proteome;Transducer.;","4733425_515"
"4734363",188,"GO:0009897 // GO:0070062 // GO:0005887 // GO:0030246 // GO:0007155","cell adhesion (GO:0007155);","carbohydrate binding (GO:0030246);","external side of plasma membrane (GO:0009897);extracellular exosome (GO:0070062);integral component of plasma membrane (GO:0005887);","Alternative splicing;Cell adhesion;Cell membrane;Complete proteome;Disulfide bond;Glycoprotein;Immunoglobulin domain;Isopeptide bond;Lectin;Membrane;Phosphoprotein;Polymorphism;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix;Ubl conjugation.;","4734363_188"
"4734877",560,"GO:0005615 // GO:0006955","immune response (GO:0006955);","No_GOMF","extracellular space (GO:0005615);","Complete proteome;Cytokine;Disulfide bond;Glycoprotein;Reference proteome;Secreted;Signal.;","4734877_560"
