ContigName	GO
4709311	GO:0005737, GO:0071339, GO:0005654, GO:0005667, GO:0003677, GO:0003700, GO:0006351
4709315	GO:0005737, GO:0005829, GO:0005654, GO:2000233, GO:0043065, GO:0022618
4709319	GO:0005737, GO:0005829, GO:0005730, GO:0005654, GO:0005634, GO:0003682, GO:0000978, GO:0001077, GO:0001974, GO:0033173, GO:0014898, GO:0045333, GO:0071277, GO:0071285, GO:0038095, GO:0007507, GO:0006954, GO:0045087, GO:0001569, GO:0045944, GO:2001256, GO:0006357, GO:0001666, GO:0048741, GO:0051145, GO:0002223, GO:0030217, GO:0048538, GO:0006366
4709327	GO:0005829, GO:0005871, GO:0016020, GO:0005874, GO:0030496, GO:0005634, GO:0051233, GO:0005524, GO:0008574, GO:0016887, GO:0008017, GO:0003777, GO:0030165, GO:0019901, GO:0015631, GO:0032147, GO:0051301, GO:0021846, GO:0021695, GO:0021685, GO:0021693, GO:0021987, GO:0030705, GO:0045184, GO:0021766, GO:0007018, GO:1903047, GO:0007080, GO:0043066, GO:0033624, GO:0043524, GO:0021772, GO:0008284, GO:0032467, GO:0043161, GO:0030155, GO:0001558, GO:1903429, GO:0030334, GO:2000045, GO:0010389, GO:0031641, GO:0043523, GO:0032487, GO:0031146, GO:0007264, GO:0034446
4709343	GO:0005739, GO:0005777, GO:0016787, GO:0033971, GO:0006144, GO:0019628
4709359	GO:0005654, GO:0005667, GO:0003677, GO:0042803, GO:0000978, GO:0004879, GO:0043565, GO:0003707, GO:0001077, GO:0008270, GO:0008283, GO:0007276, GO:0010467, GO:0030522, GO:0000122, GO:0007283, GO:0006367
4709361	GO:0005737, GO:0005736, GO:0005730, GO:0005654, GO:0005634, GO:0003677, GO:0003899, GO:0008270, GO:0010467, GO:0045814, GO:0040029, GO:0006363, GO:0006362, GO:0006360, GO:0006361
4709373	GO:0005634, GO:0003677, GO:0046872, GO:0003712, GO:0006357, GO:0006351
4709399	GO:0005874, GO:0000242, GO:0005525, GO:0003924, GO:0005200, GO:0007098, GO:0051258
4709403	GO:0005829, GO:0005794, GO:0000139, GO:0017119, GO:0016020, GO:0005654, GO:0006891, GO:0015031
4709407	GO:0005737, GO:0005576, GO:0016020, GO:0005509, GO:0003682, GO:0007155
4709409	GO:0005938, GO:0030054, GO:0042995, GO:0005737, GO:0005856, GO:0005829, GO:0031234, GO:0005634, GO:0005524, GO:0005154, GO:0008289, GO:0004715, GO:0004713, GO:0031532, GO:0007155, GO:0030154, GO:0016477, GO:0008283, GO:0044331, GO:0032869, GO:0036006, GO:0034614, GO:0006935, GO:0019221, GO:0050904, GO:0035426, GO:0038095, GO:0045087, GO:0038028, GO:0070102, GO:0035556, GO:0038109, GO:0000226, GO:0000278, GO:0033007, GO:0038083, GO:0018108, GO:0048008, GO:0030838, GO:0030335, GO:0008284, GO:0051092, GO:0046777, GO:0006468, GO:0042058, GO:0010762, GO:0010591, GO:0043304, GO:0001932, GO:0032496, GO:0036119, GO:0034446, GO:0042503
4709413	GO:0005576, GO:0032580, GO:0000139, GO:0030173, GO:0003836, GO:0008118, GO:0001574, GO:0018146, GO:0016266, GO:0009311, GO:0043687, GO:0018279, GO:0097503
4709421	GO:0015629, GO:0005911, GO:0005829, GO:0070062, GO:0012506, GO:0030695, GO:0042802, GO:0043274, GO:0019901, GO:0017124, GO:0030041, GO:0030048, GO:0008154, GO:0007596, GO:0006952, GO:0016197, GO:0008544, GO:0038096, GO:0006955, GO:0045087, GO:2000146, GO:0006461, GO:0050790, GO:0002625, GO:0007264, GO:0042110, GO:0050852
4709433	GO:0005737, GO:0005654
4709437	GO:0016021, GO:0005635, GO:0005637
4709439	GO:0030863, GO:0032437, GO:0016020, GO:0008091, GO:0014731, GO:0005509, GO:0046982, GO:0030036, GO:0051693, GO:0030097, GO:0002260, GO:0007009, GO:0006779, GO:0032092, GO:0042102, GO:0008360
4709443	GO:0009986, GO:0070062, GO:0005615, GO:0001530, GO:0070891, GO:0005102, GO:0006953, GO:0071222, GO:0071223, GO:0050829, GO:0050830, GO:0032490, GO:0045087, GO:0002232, GO:0015920, GO:0031663, GO:0001889, GO:0002281, GO:0044130, GO:0032720, GO:0008228, GO:0032722, GO:0032755, GO:0032757, GO:0043032, GO:0090023, GO:0060100, GO:0060265, GO:0034145, GO:0042535, GO:0032760, GO:0090559, GO:0032496
4709455	GO:0005615, GO:0008270
4709457	GO:0005634, GO:0005524, GO:0006974
4709471	GO:0005829, GO:0016021, GO:0031966, GO:0005886, GO:0004674
4709473	GO:0005737, GO:0005634, GO:0046872, GO:0008168, GO:0000978, GO:0003700, GO:0001078, GO:0048844, GO:0045165, GO:0042462, GO:0007281, GO:0060576, GO:0001893, GO:0001763, GO:0030889, GO:0031665, GO:0000122, GO:0045579, GO:0010628, GO:0009791, GO:1990654, GO:0006351, GO:0060707
4709479	GO:0005737, GO:0005829, GO:0005634, GO:0005524, GO:0046872, GO:0044822, GO:0046983, GO:0004672, GO:0004674, GO:0000724, GO:0010467, GO:0006406, GO:0000184, GO:0018105, GO:0046854, GO:0046777, GO:0006950
4709481	GO:0005634, GO:0003677, GO:0046872, GO:0003700, GO:0006351
4709483	GO:0042995
4709491	GO:0001669, GO:0034451, GO:0005814, GO:0005813, GO:0005929, GO:0045171, GO:0043231, GO:0015630, GO:0005815, GO:0031965, GO:0005654, GO:0005634, GO:0032403, GO:0042803, GO:0007049, GO:0030154, GO:0035735, GO:0007275, GO:0008284, GO:0090316, GO:0010824, GO:0007283
4709511	GO:0016023, GO:0031410, GO:0005769, GO:0005096, GO:0017137, GO:0017112, GO:0006897, GO:0043547, GO:0007165
4709513	GO:0070877, GO:0005730, GO:0005654, GO:0005634, GO:0003725, GO:0001530, GO:0046872, GO:0044822, GO:0070878, GO:0042803, GO:0004525, GO:0050829, GO:0050830, GO:0010467, GO:0031047, GO:0010586, GO:0010628, GO:0031054, GO:0031053, GO:0030422, GO:2000628, GO:0042254, GO:0090501, GO:0090502, GO:0016075
4709521	GO:0009986, GO:0016021, GO:0006915, GO:0007411, GO:0098609, GO:0021859, GO:2001222, GO:0007165
4709523	GO:0036156, GO:0005874, GO:0031512, GO:0005524, GO:0003777, GO:0007018
4709539	No_GOcodes
4709559	GO:0005737, GO:0005634, GO:0010165
4709563	GO:0016021, GO:0005886
4709569	No_GOcodes
4709585	GO:0031362, GO:0009986, GO:0005576, GO:0016020, GO:0008144, GO:0005542, GO:0061714, GO:0008517, GO:0051870, GO:0071231, GO:0015884, GO:0006954, GO:0008284, GO:0006898, GO:0050758
4709593	GO:0030054, GO:0005615, GO:0016021, GO:0016020, GO:0014069, GO:0045211, GO:0030672, GO:0045499, GO:0030215, GO:0021535, GO:0021549, GO:0042692, GO:0050919, GO:0048843, GO:0001755, GO:0001843, GO:0030335, GO:0032874, GO:0071526
4709605	GO:0032592, GO:0005743, GO:0005524, GO:0042626, GO:0005215, GO:0055085, GO:0006810
4709617	GO:0005829, GO:0003677, GO:0046872, GO:0008270, GO:0019221, GO:0045087, GO:0060333, GO:0046597, GO:1902187, GO:0051091
4709621	GO:0005634, GO:0046872, GO:0043565, GO:0003700, GO:0030154, GO:0007548, GO:0006351
4709643	GO:0005829, GO:0005070, GO:0004871, GO:0007257, GO:0008283, GO:0007173, GO:0008544, GO:0038095, GO:0008543, GO:0007507, GO:0045087, GO:0008286, GO:0070102, GO:0060711, GO:0048011, GO:0048015, GO:0048008, GO:0030334, GO:0006979
4709647	GO:0005887, GO:0005109, GO:0016874, GO:0004842, GO:0008270, GO:0060070, GO:0090090, GO:2000051, GO:0030178, GO:0016567, GO:0072089, GO:0006511, GO:0038018, GO:0060071
4709649	GO:0005737, GO:0005829, GO:0005739, GO:0005634, GO:0002102, GO:0005524, GO:0019899, GO:0042826, GO:0035033, GO:0004705, GO:0016301, GO:0004674, GO:0070301, GO:0071222, GO:0071732, GO:0048813, GO:0048263, GO:0007254, GO:0007258, GO:0043066, GO:0032091, GO:0001764, GO:0097150, GO:0001503, GO:0018105, GO:0018107, GO:2001235, GO:0031281, GO:0090045, GO:2000017, GO:0010628, GO:0071803, GO:0051247, GO:0097300, GO:0006468, GO:0042752, GO:0010468, GO:0031063, GO:0032880, GO:0046686, GO:0009411, GO:0048511
4709663	GO:0030424, GO:0005813, GO:0005737, GO:0030425, GO:0005794, GO:0005874, GO:0015630, GO:0005739, GO:0005886, GO:0007411, GO:0007155, GO:0071363, GO:0051654, GO:1902902, GO:0007399, GO:0010976, GO:0006810
4709687	GO:0005829, GO:0019900, GO:0032947, GO:0035331, GO:0046621, GO:0000122
4709693	No_GOcodes
4709701	No_GOcodes
4709713	GO:0005829, GO:0005635, GO:0008565, GO:0006610, GO:0042991
4709723	GO:0005737, GO:0005634, GO:0032922, GO:0000122, GO:0045187, GO:0006351
