"Contig_Name","SNP_Position","goTerm","CC","BP","MF","keywords"
"4737303",252,"GO:0001669 // GO:0009360 // GO:0005666 // GO:0005886 // GO:0001635 // GO:0003899 // GO:0000166 // GO:0051607 // GO:0045087 // GO:0007218 // GO:0006383 // GO:0006384","defense response to virus (GO:0051607);innate immune response (GO:0045087);neuropeptide signaling pathway (GO:0007218);transcription from RNA polymerase III promoter (GO:0006383);transcription initiation from RNA polymerase III promoter (GO:0006384);","calcitonin gene-related peptide receptor activity (GO:0001635);DNA-directed RNA polymerase activity (GO:0003899);nucleotide binding (GO:0000166);","acrosomal vesicle (GO:0001669);DNA polymerase III complex (GO:0009360);DNA-directed RNA polymerase III complex (GO:0005666);plasma membrane (GO:0005886);","Antiviral defense;Cell membrane;Complete proteome;DNA-directed RNA polymerase;Immunity;Innate immunity;Membrane;Nucleus;Reference proteome;Transcription.;"
"4739473",593,"GO:0005783 // GO:0005789 // GO:0016021 // GO:0005886 // GO:0006955 // GO:0006954 // GO:0045087 // GO:0006801","immune response (GO:0006955);inflammatory response (GO:0006954);innate immune response (GO:0045087);superoxide metabolic process (GO:0006801);","No_GOMF","endoplasmic reticulum (GO:0005783);endoplasmic reticulum membrane (GO:0005789);integral component of membrane (GO:0016021);plasma membrane (GO:0005886);","Cell membrane;Complete proteome;Endoplasmic reticulum;Glycoprotein;Immunity;Inflammatory response;Innate immunity;Leucine-rich repeat;Membrane;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix.;"
"4740471",804,"GO:0005887 // GO:0005622 // GO:0005886 // GO:0042101 // GO:0005068 // GO:0002250 // GO:0006968 // GO:0007173 // GO:0038095 // GO:0008543 // GO:0045087 // GO:0001920 // GO:0051051 // GO:0048011 // GO:0048015 // GO:0050850 // GO:0050862 // GO:0007165 // GO:0050852","adaptive immune response (GO:0002250);cellular defense response (GO:0006968);epidermal growth factor receptor signaling pathway (GO:0007173);Fc-epsilon receptor signaling pathway (GO:0038095);fibroblast growth factor receptor signaling pathway (GO:0008543);innate immune response (GO:0045087);negative regulation of receptor recycling (GO:0001920);negative regulation of transport (GO:0051051);neurotrophin TRK receptor signaling pathway (GO:0048011);phosphatidylinositol-mediated signaling (GO:0048015);positive regulation of calcium-mediated signaling (GO:0050850);positive regulation of T cell receptor signaling pathway (GO:0050862);signal transduction (GO:0007165);T cell receptor signaling pathway (GO:0050852);","transmembrane receptor protein tyrosine kinase adaptor activity (GO:0005068);","integral component of plasma membrane (GO:0005887);intracellular (GO:0005622);plasma membrane (GO:0005886);T cell receptor complex (GO:0042101);","Adaptive immunity;Cell membrane;Complete proteome;Direct protein sequencing;Disulfide bond;Immunity;Membrane;Phosphoprotein;Polymorphism;Reference proteome;Signal-anchor;Transmembrane;Transmembrane helix.;"
"4740997",524,"GO:0005737 // GO:0005794 // GO:0016021 // GO:0016020 // GO:0005886 // GO:0019901 // GO:0042169 // GO:0002250 // GO:0050851 // GO:0042113 // GO:0006955 // GO:0048305 // GO:0000188 // GO:0035556 // GO:0050868","adaptive immune response (GO:0002250);antigen receptor-mediated signaling pathway (GO:0050851);B cell activation (GO:0042113);immune response (GO:0006955);immunoglobulin secretion (GO:0048305);inactivation of MAPK activity (GO:0000188);intracellular signal transduction (GO:0035556);negative regulation of T cell activation (GO:0050868);","protein kinase binding (GO:0019901);SH2 domain binding (GO:0042169);","cytoplasm (GO:0005737);Golgi apparatus (GO:0005794);integral component of membrane (GO:0016021);membrane (GO:0016020);plasma membrane (GO:0005886);","Adaptive immunity;Alternative splicing;Cell membrane;Complete proteome;Immunity;Membrane;Phosphoprotein;Reference proteome;Signal-anchor;Transmembrane;Transmembrane helix.;"
"4740997",584,"GO:0005737 // GO:0005794 // GO:0016021 // GO:0016020 // GO:0005886 // GO:0019901 // GO:0042169 // GO:0002250 // GO:0050851 // GO:0042113 // GO:0006955 // GO:0048305 // GO:0000188 // GO:0035556 // GO:0050868","adaptive immune response (GO:0002250);antigen receptor-mediated signaling pathway (GO:0050851);B cell activation (GO:0042113);immune response (GO:0006955);immunoglobulin secretion (GO:0048305);inactivation of MAPK activity (GO:0000188);intracellular signal transduction (GO:0035556);negative regulation of T cell activation (GO:0050868);","protein kinase binding (GO:0019901);SH2 domain binding (GO:0042169);","cytoplasm (GO:0005737);Golgi apparatus (GO:0005794);integral component of membrane (GO:0016021);membrane (GO:0016020);plasma membrane (GO:0005886);","Adaptive immunity;Alternative splicing;Cell membrane;Complete proteome;Immunity;Membrane;Phosphoprotein;Reference proteome;Signal-anchor;Transmembrane;Transmembrane helix.;"
"4740997",640,"GO:0005737 // GO:0005794 // GO:0016021 // GO:0016020 // GO:0005886 // GO:0019901 // GO:0042169 // GO:0002250 // GO:0050851 // GO:0042113 // GO:0006955 // GO:0048305 // GO:0000188 // GO:0035556 // GO:0050868","adaptive immune response (GO:0002250);antigen receptor-mediated signaling pathway (GO:0050851);B cell activation (GO:0042113);immune response (GO:0006955);immunoglobulin secretion (GO:0048305);inactivation of MAPK activity (GO:0000188);intracellular signal transduction (GO:0035556);negative regulation of T cell activation (GO:0050868);","protein kinase binding (GO:0019901);SH2 domain binding (GO:0042169);","cytoplasm (GO:0005737);Golgi apparatus (GO:0005794);integral component of membrane (GO:0016021);membrane (GO:0016020);plasma membrane (GO:0005886);","Adaptive immunity;Alternative splicing;Cell membrane;Complete proteome;Immunity;Membrane;Phosphoprotein;Reference proteome;Signal-anchor;Transmembrane;Transmembrane helix.;"
"4740997",762,"GO:0005737 // GO:0005794 // GO:0016021 // GO:0016020 // GO:0005886 // GO:0019901 // GO:0042169 // GO:0002250 // GO:0050851 // GO:0042113 // GO:0006955 // GO:0048305 // GO:0000188 // GO:0035556 // GO:0050868","adaptive immune response (GO:0002250);antigen receptor-mediated signaling pathway (GO:0050851);B cell activation (GO:0042113);immune response (GO:0006955);immunoglobulin secretion (GO:0048305);inactivation of MAPK activity (GO:0000188);intracellular signal transduction (GO:0035556);negative regulation of T cell activation (GO:0050868);","protein kinase binding (GO:0019901);SH2 domain binding (GO:0042169);","cytoplasm (GO:0005737);Golgi apparatus (GO:0005794);integral component of membrane (GO:0016021);membrane (GO:0016020);plasma membrane (GO:0005886);","Adaptive immunity;Alternative splicing;Cell membrane;Complete proteome;Immunity;Membrane;Phosphoprotein;Reference proteome;Signal-anchor;Transmembrane;Transmembrane helix.;"
"4744479",411,"GO:0012505 // GO:0016021 // GO:0005886 // GO:0004872 // GO:0002250 // GO:0008283 // GO:0002260 // GO:0007275 // GO:0007165 // GO:0033209","adaptive immune response (GO:0002250);cell proliferation (GO:0008283);lymphocyte homeostasis (GO:0002260);multicellular organismal development (GO:0007275);signal transduction (GO:0007165);tumor necrosis factor-mediated signaling pathway (GO:0033209);","receptor activity (GO:0004872);","endomembrane system (GO:0012505);integral component of membrane (GO:0016021);plasma membrane (GO:0005886);","3D-structure;Adaptive immunity;Alternative splicing;Cell membrane;Chromosomal rearrangement;Complete proteome;Disulfide bond;Immunity;Membrane;Polymorphism;Proto-oncogene;Receptor;Reference proteome;Signal-anchor;Transmembrane;Transmembrane helix.;"
"4744479",575,"GO:0012505 // GO:0016021 // GO:0005886 // GO:0004872 // GO:0002250 // GO:0008283 // GO:0002260 // GO:0007275 // GO:0007165 // GO:0033209","adaptive immune response (GO:0002250);cell proliferation (GO:0008283);lymphocyte homeostasis (GO:0002260);multicellular organismal development (GO:0007275);signal transduction (GO:0007165);tumor necrosis factor-mediated signaling pathway (GO:0033209);","receptor activity (GO:0004872);","endomembrane system (GO:0012505);integral component of membrane (GO:0016021);plasma membrane (GO:0005886);","3D-structure;Adaptive immunity;Alternative splicing;Cell membrane;Chromosomal rearrangement;Complete proteome;Disulfide bond;Immunity;Membrane;Polymorphism;Proto-oncogene;Receptor;Reference proteome;Signal-anchor;Transmembrane;Transmembrane helix.;"
"4744479",676,"GO:0012505 // GO:0016021 // GO:0005886 // GO:0004872 // GO:0002250 // GO:0008283 // GO:0002260 // GO:0007275 // GO:0007165 // GO:0033209","adaptive immune response (GO:0002250);cell proliferation (GO:0008283);lymphocyte homeostasis (GO:0002260);multicellular organismal development (GO:0007275);signal transduction (GO:0007165);tumor necrosis factor-mediated signaling pathway (GO:0033209);","receptor activity (GO:0004872);","endomembrane system (GO:0012505);integral component of membrane (GO:0016021);plasma membrane (GO:0005886);","3D-structure;Adaptive immunity;Alternative splicing;Cell membrane;Chromosomal rearrangement;Complete proteome;Disulfide bond;Immunity;Membrane;Polymorphism;Proto-oncogene;Receptor;Reference proteome;Signal-anchor;Transmembrane;Transmembrane helix.;"
"4746597",338,"GO:0005813 // GO:0005666 // GO:0043231 // GO:0005654 // GO:0003677 // GO:0003899 // GO:0051607 // GO:0045087 // GO:0006139 // GO:0006383 // GO:0006384","defense response to virus (GO:0051607);innate immune response (GO:0045087);nucleobase-containing compound metabolic process (GO:0006139);transcription from RNA polymerase III promoter (GO:0006383);transcription initiation from RNA polymerase III promoter (GO:0006384);","DNA binding (GO:0003677);DNA-directed RNA polymerase activity (GO:0003899);","centrosome (GO:0005813);DNA-directed RNA polymerase III complex (GO:0005666);intracellular membrane-bounded organelle (GO:0043231);nucleoplasm (GO:0005654);","Antiviral defense;Complete proteome;DNA-directed RNA polymerase;Immunity;Innate immunity;Nucleus;Reference proteome;Transcription.;"
"4746597",920,"GO:0005813 // GO:0005666 // GO:0043231 // GO:0005654 // GO:0003677 // GO:0003899 // GO:0051607 // GO:0045087 // GO:0006139 // GO:0006383 // GO:0006384","defense response to virus (GO:0051607);innate immune response (GO:0045087);nucleobase-containing compound metabolic process (GO:0006139);transcription from RNA polymerase III promoter (GO:0006383);transcription initiation from RNA polymerase III promoter (GO:0006384);","DNA binding (GO:0003677);DNA-directed RNA polymerase activity (GO:0003899);","centrosome (GO:0005813);DNA-directed RNA polymerase III complex (GO:0005666);intracellular membrane-bounded organelle (GO:0043231);nucleoplasm (GO:0005654);","Antiviral defense;Complete proteome;DNA-directed RNA polymerase;Immunity;Innate immunity;Nucleus;Reference proteome;Transcription.;"
"4747191",247,"GO:0005737 // GO:0005856 // GO:0012505 // GO:0016020 // GO:0005634 // GO:0005524 // GO:0020037 // GO:0042393 // GO:0035401 // GO:0004715 // GO:0004713 // GO:0042977 // GO:0002250 // GO:0019221 // GO:0030218 // GO:0035409 // GO:0045087 // GO:0060397 // GO:0042517 // GO:0046777 // GO:0007165","activation of JAK2 kinase activity (GO:0042977);adaptive immune response (GO:0002250);cytokine-mediated signaling pathway (GO:0019221);erythrocyte differentiation (GO:0030218);histone H3-Y41 phosphorylation (GO:0035409);innate immune response (GO:0045087);JAK-STAT cascade involved in growth hormone signaling pathway (GO:0060397);positive regulation of tyrosine phosphorylation of Stat3 protein (GO:0042517);protein autophosphorylation (GO:0046777);signal transduction (GO:0007165);","ATP binding (GO:0005524);heme binding (GO:0020037);histone binding (GO:0042393);histone kinase activity (H3-Y41 specific) (GO:0035401);non-membrane spanning protein tyrosine kinase activity (GO:0004715);protein tyrosine kinase activity (GO:0004713);","cytoplasm (GO:0005737);cytoskeleton (GO:0005856);endomembrane system (GO:0012505);membrane (GO:0016020);nucleus (GO:0005634);","Adaptive immunity;ATP-binding;Chromatin regulator;Complete proteome;Cytoplasm;Immunity;Innate immunity;Kinase;Membrane;Nucleotide-binding;Nucleus;Phosphoprotein;Reference proteome;Repeat;SH2 domain;Transferase;Tyrosine-protein kinase.;"
"4751391",281,"GO:0005737 // GO:0030027 // GO:0005874 // GO:0005875 // GO:0005634 // GO:0001726 // GO:0003779 // GO:0008270 // GO:0006954 // GO:0045087 // GO:0050728 // GO:0032691 // GO:0032695 // GO:0071641 // GO:2001056","inflammatory response (GO:0006954);innate immune response (GO:0045087);negative regulation of inflammatory response (GO:0050728);negative regulation of interleukin-1 beta production (GO:0032691);negative regulation of interleukin-12 production (GO:0032695);negative regulation of macrophage inflammatory protein 1 alpha production (GO:0071641);positive regulation of cysteine-type endopeptidase activity (GO:2001056);","actin binding (GO:0003779);zinc ion binding (GO:0008270);","cytoplasm (GO:0005737);lamellipodium (GO:0030027);microtubule (GO:0005874);microtubule associated complex (GO:0005875);nucleus (GO:0005634);ruffle (GO:0001726);","Actin-binding;Cell projection;Coiled coil;Complete proteome;Cytoplasm;Cytoplasmic vesicle;Cytoskeleton;Immunity;Inflammatory response;Innate immunity;Metal-binding;Microtubule;Nucleus;Reference proteome;Zinc;Zinc-finger.;"
"4752499",889,"GO:0005829 // GO:0005666 // GO:0005654 // GO:0003677 // GO:0003899 // GO:0046872 // GO:0032549 // GO:0051607 // GO:0010467 // GO:0045087 // GO:0045089 // GO:0032728 // GO:0032481 // GO:0006386 // GO:0006385 // GO:0006383","defense response to virus (GO:0051607);gene expression (GO:0010467);innate immune response (GO:0045087);positive regulation of innate immune response (GO:0045089);positive regulation of interferon-beta production (GO:0032728);positive regulation of type I interferon production (GO:0032481);termination of RNA polymerase III transcription (GO:0006386);transcription elongation from RNA polymerase III promoter (GO:0006385);transcription from RNA polymerase III promoter (GO:0006383);","DNA binding (GO:0003677);DNA-directed RNA polymerase activity (GO:0003899);metal ion binding (GO:0046872);ribonucleoside binding (GO:0032549);","cytosol (GO:0005829);DNA-directed RNA polymerase III complex (GO:0005666);nucleoplasm (GO:0005654);","Alternative splicing;Antiviral defense;Complete proteome;Disease mutation;DNA-directed RNA polymerase;Immunity;Innate immunity;Leukodystrophy;Metal-binding;Nucleotidyltransferase;Nucleus;Polymorphism;Reference proteome;Transcription;Transferase;Zinc;Zinc-finger.;"
"4757229",1397,"GO:0005737 // GO:0005829 // GO:0005634 // GO:0003677 // GO:0003726 // GO:0003692 // GO:0003723 // GO:0045087 // GO:0032481 // GO:0060340","innate immune response (GO:0045087);positive regulation of type I interferon production (GO:0032481);positive regulation of type I interferon-mediated signaling pathway (GO:0060340);","DNA binding (GO:0003677);double-stranded RNA adenosine deaminase activity (GO:0003726);left-handed Z-DNA binding (GO:0003692);RNA binding (GO:0003723);","cytoplasm (GO:0005737);cytosol (GO:0005829);nucleus (GO:0005634);","3D-structure;Alternative splicing;Complete proteome;DNA-binding;Immunity;Innate immunity;Polymorphism;Reference proteome;Repeat.;"
